name,fuel,capacity,owner,cost,average_generation,annual_revenue,annual_operating_expense,annual_profit,payback_period,npv,roi,irr
Shotwick,1,72.209,Foresight Solar Fund,79.4299,109437.8616,21.88776577,2.73594654,19.15181923,4.14738146,261.9920365,329.840572,9.19362288
MOD Lyneham,1,69.8,Defence Infrastructure Organisation,76.78,105786.8512,21.15756369,2.64467128,18.51289241,4.147380015,253.2516795,329.840687,9.193627479
Owl's Hatch Solar Park,1,51.9376,Cubico Sustainable Investments,62.32512,78715.11696,15.74321684,1.967877924,13.77533892,4.524398302,188.4431475,302.3550497,8.094201986
Wroughton Airfield Solar Park,1,50,Rockfire Capital,60,75778.54671,15.15590279,1.894463668,13.26143912,4.524395839,181.4131285,302.3552142,8.094208568
West Raynham,1,49.9,Bluefield Solar,59.88,75626.98962,15.12559137,1.89067474,13.23491663,4.524395707,181.0503076,302.355223,8.094208922
Snarlton Farm (Melksham solar farm),1,49.6,Foresight,59.52,75172.31834,15.03465712,1.879307958,13.15534916,4.524395307,179.9618447,302.3552498,8.094209991
Eveley,1,49.328,PS Renewables,59.1936,74760.08304,14.95221006,1.869002076,13.08320798,4.52439494,178.9749716,302.3552743,8.094210972
Southwick Estate,1,48,Bluefield Solar Income Fund,57.6,72747.40484,14.54967442,1.818685121,12.7309893,4.524393089,174.1567092,302.355398,8.094215919
Landmead Farm (East Hanney),1,46,First Solar/Innogy (previously BELECTRIC Solar)/Foresight Solar Fund,55.2,69716.26298,13.94344605,1.742906574,12.20053947,4.5243901,166.9002899,302.3555977,8.094223909
Vine Farm Solar Park,1,45,Allianz,54,68200.69204,13.64033186,1.705017301,11.93531456,4.524388506,163.2720803,302.3557043,8.094228171
Canworthy Water,1,41,Equitix,53.3,62138.4083,12.42787511,1.553460208,10.8744149,4.901413131,148.7592417,279.0980145,7.16392058
Scottow,1,40.3,,52.39,61077.50865,12.21569518,1.526937716,10.68875746,4.901411617,146.219495,279.0981007,7.16392403
Cowdown Lane,1,40,Equitix,52,60622.83737,12.12476092,1.515570934,10.60918999,4.901410951,145.1310321,279.0981386,7.163925545
Great Wilbraham Solar Farm,1,38.1,Inazin Energy Limited / Low Carbon,49.53,57743.2526,11.54884397,1.443581315,10.10526265,4.901406494,138.2374338,279.0983924,7.163935697
Raventhorpe Farm,1,38,Fengate Capital,49.4,57591.6955,11.51853255,1.439792388,10.07874016,4.901406247,137.8746128,279.0984065,7.163936259
Kencot Hill Solar Farm (revised application),1,37,Foresight Solar Fund Limited,48.1,56076.12457,11.21541836,1.401903114,9.813515249,4.901403705,134.2464032,279.0985513,7.16394205
Chapel Lane Parley Solar Farm Phase 2,1,36,Eco Sustainable Solutions,46.8,54560.55363,10.91230418,1.364013841,9.548290336,4.901401021,130.6181935,279.0987041,7.163948164
Water Eaton Farm / Port Farm,1,34.8,Foresight/ Vogt solar,45.24,52741.86851,10.54856715,1.318546713,9.23002044,4.901397597,126.2643419,279.0988991,7.163955963
Wymeswold Airfield,1,34,Foresight Solar Fund,44.2,51529.41176,10.3060758,1.288235294,9.017840509,4.90139518,123.3617742,279.0990367,7.163961468
Coltishall 1,1,33.682,Greencoat Capital,43.7866,51047.46021,10.20968549,1.276186505,8.933498986,4.901394187,122.2080036,279.0990932,7.16396373
Ermine Street Farm solar park,1,32.5,Octopus Investments,42.25,49256.05536,9.851404523,1.231401384,8.620003139,4.901390327,117.9194598,279.099313,7.163972522
Black Peak Farm,1,31.8,Lightsource Renewable Energy,41.34,48195.15571,9.639224592,1.204878893,8.434345699,4.901387905,115.379713,279.0994509,7.163978037
Munceys Farm,1,31.6,Lightsource Renewable Energy,41.08,47892.04152,9.578601754,1.197301038,8.381300716,4.901387194,114.6540711,279.0994914,7.163979657
Broxted Solar Park,1,31.59,Lark Energy,41.067,47876.88581,9.575570613,1.196922145,8.378648467,4.901387158,114.617789,279.0994935,7.163979739
Fenton Home Farm,1,31.3,Sunsave,40.69,47437.37024,9.487667498,1.185934256,8.301733242,4.90138611,113.5656082,279.0995532,7.163982127
Exning,1,30.276,Vortex (formerly Sun Edison),39.3588,45885.42561,9.177278571,1.14713564,8.030142931,4.901382247,109.8503215,279.0997731,7.163990926
Troughton Farm,1,30,Hive Energy,39,45467.12803,9.093619056,1.136678201,7.956940855,4.90138116,108.8489357,279.099835,7.1639934
Copley Farm,1,30,TGC Renewables,39,45467.12803,9.093619056,1.136678201,7.956940855,4.90138116,108.8489357,279.099835,7.1639934
Rose And Crown Farm,1,30,Elgin Energy EsCo,39,45467.12803,9.093619056,1.136678201,7.956940855,4.90138116,108.8489357,279.099835,7.1639934
Elms Farm,1,29,Bluefield Solar,40.6,43951.55709,8.790504869,1.098788927,7.691715941,5.278406055,105.220726,259.1643498,6.366573991
Hillhouse Farm,1,28.5,Cambridge Solar Power/ Vogt Solar,39.9,43193.77163,8.638947775,1.079844291,7.559103485,5.278403726,103.4066212,259.1644641,6.366578565
Laceby Solar Farm,1,27.1,Conergy,37.94,41071.97232,8.214587914,1.026799308,7.187788606,5.278396748,98.32712769,259.1648068,6.366592271
Lynt Farm,1,27,Meag,37.8,40920.41522,8.184276495,1.023010381,7.161266114,5.278396222,97.96430672,259.1648326,6.366593304
Walkers Wood Solar Park,1,27,Solar century / Magnetar Solar,37.8,40920.41522,8.184276495,1.023010381,7.161266114,5.278396222,97.96430672,259.1648326,6.366593304
South Creake,1,26.001155,Lightsource,36.401617,39406.59478,7.881512405,0.985164869,6.896347536,5.278390744,94.34028766,259.1651015,6.366604062
Glebe,1,26,,36.4,39404.84429,7.881162308,0.985121107,6.896041201,5.278390737,94.33609708,259.1651019,6.366604075
Former Maghaberry Airfield,1,25.7,Lightsource Renewable Energy,35.98,38950.17301,7.790228052,0.973754325,6.816473727,5.278389009,93.24763419,259.1651867,6.366607469
Hillside Solar Farm,1,25.2,Lightsource Renewable Energy,35.28,38192.38754,7.638670959,0.954809689,6.68386127,5.278386037,91.43352936,259.1653327,6.366613307
Bann Road (Tullaghans Road),1,25,Greencoat Capital,35,37889.27336,7.578048121,0.947231834,6.630816287,5.278384815,90.70788743,259.1653927,6.366615707
Drayton Manor Farm,1,25,Anesco,35,37889.27336,7.578048121,0.947231834,6.630816287,5.278384815,90.70788743,259.1653927,6.366615707
